Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD
US,US-WA,WA-6,757400,671500,55122000,1313325,5021400,17385000,5009500,227700000,2922000,3216525,7056000,589950,1166000
US,US-WA,WA-7,1113300,987750,80831500,1931875,7380500,25515000,7370000,332977500,4287200,4720875,10380750,866100,1712000
US,US-WA,WA-8,916200,807000,66725250,1578425,6016300,20843000,6021000,267757500,3492000,3819000,8429250,709350,1401800
US,US-WA,WA-9,1008000,895350,73197250,1751225,6689400,23114000,6681500,301717500,3885000,4276050,9411750,783800,1553800
US,US-WI,WI-1,1183500,1037250,86628000,2028775,7761500,27021000,7734500,351525000,4529400,4949625,10850250,918500,1815600
US,US-WI,WI-2,1325700,1167300,96860750,2283200,8736900,30393000,8705500,396577500,5098300,5580600,12245250,1031300,2039800
US,US-WI,WI-3,1016100,893600,74364500,1747825,6691800,23309000,6663500,304582500,3908900,4278825,9366750,790750,1563000
US,US-WI,WI-4,1540500,1349600,113061250,2639775,10118700,35262000,10062500,462862500,5915600,6472950,14140500,1196700,2368800
US,US-WI,WI-5,1070600,940250,78372250,1839125,7043400,24534000,7011500,320752500,4114300,4502925,9855750,832300,1646000
US,US-WI,WI-6,1020900,896400,74656750,1753350,6711400,23373000,6684500,304995000,3919300,4287975,9393000,793850,1568400
US,US-WI,WI-7,866100,760900,63370250,1488300,5698000,19835000,5674000,259522500,3327800,3643200,7971000,673450,1331200
US,US-WI,WI-8,1025800,900750,75135500,1761875,6744000,23498000,6717000,306405000,3939300,4306650,9432000,797350,1577000
US,US-WV,WV-1,532600,466600,38579500,912575,3478800,12083000,3480000,155017500,2022900,2206575,4881000,412800,812600
US,US-WV,WV-2,614900,539400,44575500,1054975,4021800,13972000,4023500,178905000,2338400,2549550,5640750,476900,938600
US,US-WV,WV-3,524600,459600,38007750,898950,3424800,11893000,3428500,151890000,1990400,2168250,4799250,406100,798600
US,US-WY,WY-AT LARGE,385100,339450,27857250,663900,2535000,8805000,2532000,114015000,1476100,1617000,3561000,300250,589800
